Donated,Gender,Race,Currently Using Award,Education,Years in Current job,CY Helped in Career,Recommend CY,Significantly positive impact,Helped Develop Relationship,Increased Civic Engagement,Top Experience Score,Will Support,Support CY Score
1,1,4,1,2,1,3,1,3,1,1,1.486486486,0,0
0,0,4,1,,2,3,2,4,1,1,0.972972973,1,2
0,0,4,1,2,1,4,0,4,1,1,0.567567568,1,1
1,0,4,1,1,2,3,2,4,1,1,3.162162162,1,4
0,0,7,0,,1,2,0,4,1,1,2.513513514,1,1
,0,2,1,2,2,1,0,1,0,0,0.891891892,0,0
1,1,5,1,1,1,3,2,4,1,1,3,0,0
1,0,6,1,2,1,3,1,4,1,0,3.121621622,1,1
1,0,9,1,1,3,3,2,4,1,1,3.121621622,1,2
0,1,4,1,1,1,3,1,4,1,1,0.486486486,1,3
0,0,9,0,1,1,1,0,1,0,0,3.040540541,0,0
1,0,9,1,1,1,4,2,4,1,1,3.608108108,0,0
0,1,7,1,,1,2,0,4,1,1,1.135135135,0,0
0,1,9,0,1,1,3,2,4,1,1,1.621621622,1,4
1,0,4,1,2,1,3,2,4,1,1,1.932432432,1,2
1,0,9,1,1,1,2,1,3,1,0,1.702702703,0,0
1,0,9,1,1,1,3,2,4,1,1,1.418918919,1,1
1,1,9,1,1,1,3,1,4,1,1,1.527027027,1,2
0,0,9,1,1,1,4,1,4,1,1,2.554054054,0,0
1,0,9,1,2,1,4,2,4,1,1,2.486486486,1,3
0,1,9,1,0,1,3,1,4,1,1,4.418918919,1,4
1,1,9,0,1,1,3,1,3,1,0,4.351351351,1,4
0,0,9,1,2,1,4,1,4,1,1,1.054054054,0,0
0,0,6,1,2,1,1,1,2,1,0,3.554054054,,0
1,0,9,0,1,1,4,1,4,1,1,3.054054054,1,1
1,0,9,1,2,1,4,2,4,1,1,2.513513514,1,2
1,0,9,1,2,1,4,2,4,1,1,2.189189189,1,1
1,0,9,1,2,1,4,2,4,1,1,1.378378378,1,3
1,0,9,1,1,1,4,2,4,1,1,1.310810811,1,3
1,0,6,1,0,2,1,2,3,1,1,1.851351351,1,4
,0,3,1,2,1,1,1,4,1,1,3.648648649,0,0
0,1,3,1,1,1,2,0,4,1,1,3.364864865,1,2
1,0,4,1,2,1,4,2,4,1,1,3.608108108,1,2
0,1,9,0,1,1,4,1,4,1,1,2.243243243,1,3
1,0,9,1,1,1,4,2,4,1,1,1.486486486,0,0
0,0,9,1,1,2,1,0,2,0,0,2.905405405,0,0
1,0,1,1,1,1,3,0,2,1,1,0.743243243,1,1
1,0,9,0,1,1,4,2,4,1,1,3.972972973,0,0
1,0,9,1,1,,4,2,4,1,1,1.675675676,1,2
1,1,8,1,1,1,4,1,4,1,1,2.067567568,1,1
1,0,6,0,1,1,3,2,4,1,1,1.675675676,1,3
1,1,9,1,0,1,4,2,4,1,1,1.581081081,1,1
1,0,9,1,1,2,3,2,4,1,1,0.783783784,1,3
1,0,9,1,,1,1,2,3,1,1,2.905405405,0,0
,1,9,1,,1,3,1,4,1,1,1.864864865,0,0
1,1,9,1,3,2,1,1,3,1,1,1.054054054,0,0
1,0,9,1,1,1,4,2,4,1,1,2.864864865,1,3
1,0,9,1,0,1,2,2,4,1,1,1.27027027,0,0
1,0,9,1,2,1,2,1,4,1,1,0.486486486,1,2
1,1,4,0,1,2,3,0,4,1,0,2.594594595,,0
0,0,9,0,2,2,3,1,1,1,0,0.851351351,0,0
0,1,9,0,1,1,2,0,2,1,0,1.256756757,0,0
1,1,9,1,1,1,4,2,4,1,1,2.675675676,1,4
1,1,9,1,2,2,3,1,3,1,1,1.351351351,1,2
0,0,9,1,2,1,1,1,2,1,1,2.351351351,1,1
1,0,9,1,1,1,4,2,4,1,0,3.216216216,1,3
1,1,1,1,1,1,4,2,4,1,1,4.621621622,1,4
1,0,9,1,4,1,4,2,4,1,1,1.378378378,1,4
1,0,4,1,1,1,4,1,4,1,1,2.513513514,1,3
1,0,9,1,1,2,3,2,3,1,1,0.648648649,1,1
1,1,9,1,,1,3,1,4,1,1,0.648648649,1,3
0,0,9,1,1,1,3,0,4,1,1,1.283783784,1,2
1,0,9,1,1,1,2,1,3,1,1,0.864864865,1,3
1,0,9,1,0,1,4,2,4,1,1,4.337837838,1,4
1,0,8,1,1,1,4,2,4,1,1,2.445945946,1,4
1,0,9,0,1,1,3,2,4,1,1,3,1,4
0,0,9,1,2,1,2,1,3,1,1,3.567567568,0,0
1,1,3,1,2,1,3,0,3,1,0,1.054054054,1,2
1,0,9,1,2,1,4,2,4,1,1,2.486486486,1,3
1,0,7,0,,,4,2,4,1,1,2.351351351,1,1
1,0,8,1,2,2,1,0,1,1,0,0.567567568,0,0
1,1,9,1,2,1,1,2,4,1,1,1.297297297,1,4
0,1,9,1,2,2,2,0,2,1,1,2.337837838,1,2
0,0,6,0,1,1,4,1,4,1,1,2.918918919,0,0
0,1,3,1,2,1,4,2,4,1,1,2.783783784,1,4
1,0,9,0,1,1,4,1,3,1,0,3.162162162,0,0
