day,CA,FL,GA,IL,MO,TX
1,16,18,18,13,13,52
2,18,25,22,20,14,66
3,20,39,33,37,25,65
4,26,52,50,56,35,64
5,30,68,63,79,47,93
6,36,93,73,103,68,127
7,37,114,91,137,85,179
8,45,143,125,169,107,190
9,63,168,134,196,114,221
10,68,223,168,225,121,292
11,108,280,188,302,153,339
12,149,363,245,349,175,364
13,175,453,270,391,190,432
14,191,547,278,507,206,468
15,212,621,371,539,208,514
16,274,731,495,637,209,580
17,333,805,472,731,242,609
18,399,906,539,737,244,628
19,489,982,538,840,249,714
20,532,1042,562,981,244,765
21,576,1028,578,951,241,794
22,711,1104,717,1029,248,906
23,803,1116,733,1079,256,922
24,739,1106,814,1157,238,953
25,773,1090,833,1247,236,947
26,1042,1075,764,1283,224,909
27,967,1039,840,1260,225,877
28,1100,1054,894,1371,212,889
29,1061,1026,712,1395,213,814
30,1105,955,722,1385,215,814
31,1257,947,709,1359,203,777
32,1303,907,733,1330,179,793
33,1064,945,763,1384,177,796
34,1227,907,679,1426,173,797
35,1194,894,824,1358,192,784
36,1145,848,858,1355,187,776
37,1068,878,834,1402,190,788
38,1067,847,766,1502,195,815
39,1125,881,747,1600,195,834
40,1151,806,789,1726,184,854
41,1193,743,744,1802,177,855
42,1024,726,661,1935,173,878
43,1233,709,596,2054,190,918
44,1418,694,572,2149,198,968
45,1567,647,651,2178,226,988
46,1598,692,631,2283,230,1005
47,1675,717,793,2342,240,1028
48,1739,781,873,2390,254,1053
49,1886,756,744,2507,236,1043
50,1784,801,771,2565,216,1054
51,1681,779,713,2551,208,1044
52,1586,812,775,2554,166,1046
53,1650,734,755,2565,156,1077
54,1598,639,697,2529,149,1097
55,1580,648,610,2511,139,1140
56,1636,576,625,2327,138,1209
57,1639,600,688,2167,144,1227
58,1597,657,735,2437,135,1306
59,1759,645,658,2352,147,1274
60,1671,642,642,2438,153,1261
61,1724,589,584,2373,156,1266
62,1766,742,651,2339,146,1274
63,1866,853,666,2350,157,1202
64,1857,819,584,2497,154,1179
65,1881,756,575,2144,171,1073
66,1761,763,624,2246,175,1081
67,1793,819,657,2107,173,1040
68,1775,930,686,2154,180,950
69,1747,759,714,2191,190,943
70,1737,754,743,2302,177,1073
71,1784,758,755,2219,173,1080
72,1773,759,720,2166,166,1118
73,1845,738,678,1984,166,1277
74,1862,566,681,1878,183,1273
75,1930,626,604,1716,182,1430
76,1977,660,594,1589,198,1479
77,1982,659,595,1422,208,1449
78,2018,626,612,1317,211,1515
79,2134,637,630,1379,201,1602
80,2132,768,635,1361,201,1527
81,2214,969,660,1275,191,1534
82,2206,983,701,1209,203,1526
83,2321,1031,715,1139,190,1641
84,2553,1093,698,1071,190,1666
85,2635,1138,692,1129,195,1724
86,2654,1207,720,1013,180,1780
87,2672,1212,727,962,208,1839
88,2587,1251,732,938,214,1927
89,2716,1335,737,878,205,2279
90,2734,1478,785,835,217,2368
91,2604,1605,826,807,231,2610
92,2616,1716,845,677,254,2804
93,2597,1954,833,652,314,3103
94,2643,2128,864,641,279,3392
95,2782,2343,848,616,309,3682
96,2726,2615,889,630,320,3881
97,2804,2869,1001,625,359,4227
98,2863,3070,1003,623,388,4581
99,2876,3237,1073,621,382,4903
100,2867,3311,1228,618,367,5091
101,2975,3724,1336,642,414,5303
102,3117,3981,1455,685,425,5447
103,3348,4704,1569,696,437,5659
104,3381,5489,1597,718,409,6020
105,3567,6204,1787,716,417,6294
106,3800,6537,1927,756,422,6558
107,4216,6925,1945,773,409,6917
108,4744,7078,2122,789,402,6645
109,4925,7797,2373,662,440,6792
110,5006,7878,2500,790,468,7228
111,5303,8143,2619,801,531,7500
112,5346,8358,2615,800,547,7767
113,5499,8510,2521,782,560,8083
114,5692,8688,2740,762,572,8382
115,6062,9170,2808,784,576,9060
116,6375,9009,2717,929,600,9108
117,6825,9285,2960,861,644,9210
118,6902,9128,3012,909,632,8829
119,6987,9863,3059,954,661,8901
120,7876,10756,3358,992,731,9637
121,7837,11028,3356,1009,807,9610
122,8116,11057,3421,1039,819,9482
123,8043,11753,3507,1073,848,9732
124,8009,11756,3425,1087,907,9526
125,8228,11745,3639,1099,1040,9893
126,8664,11356,3742,1100,1152,9781
127,8211,11033,3572,1142,1209,8893
128,8391,11065,3575,1177,1262,8302
129,8309,11006,3495,1236,1347,8089
130,8526,10493,3616,1288,1437,7641
131,8838,10638,3745,1313,1527,7504
132,9003,10912,3617,1334,1591,7384
133,9127,10462,3547,1417,1567,7283
134,8911,10257,3610,1425,1507,7303
135,9180,10232,3723,1442,1416,7806
136,9420,10190,3717,1413,1405,6976
137,9920,10145,3671,1434,1322,8013
138,9881,9651,3564,1488,1224,8131
139,10005,9291,3546,1519,1078,8083
140,9852,8975,3603,1508,1008,7911
141,9859,8390,3513,1518,874,7654
142,9397,7844,3271,1574,1012,7285
143,8818,7276,3341,1627,1010,7982
144,8555,6952,3230,1652,979,6972
145,8322,6770,3236,1670,1030,7063
146,7819,6604,3345,1749,1059,6705
147,7929,6481,3346,1737,1127,6584
148,7764,6395,3370,1740,1288,6581
149,7554,6458,3520,1751,1221,6765
150,7060,6837,3491,1734,1238,6954
151,6354,6638,3396,1717,1212,7448
152,6404,6417,3270,1745,1164,7087
153,6522,6112,3106,1693,1134,7205
154,6428,5763,2919,1719,1099,6998
155,6716,5548,2834,1784,1123,6712
156,7855,5261,2727,1811,1086,6329
157,8762,4693,2547,1904,1046,6071
158,9023,4454,2582,1904,1031,5348
159,8951,4241,2534,1903,1055,5214
160,9700,3951,2436,1979,1120,4983
161,9629,3845,2417,2026,1147,5025
162,9446,3784,2485,2003,1133,4884
163,8322,3624,2382,1994,1226,4770
164,7539,3460,2373,1975,1250,4688
165,7373,3276,2333,1957,1303,4655
166,7037,3150,2249,1977,1307,4372
167,6172,2989,2219,1909,1291,4219
168,6015,2924,2146,1923,1318,3944
169,5798,2874,2031,1931,1430,4152
170,5775,3563,2049,1904,1397,4112
171,5753,3473,2003,1900,1378,3994
172,5540,3510,2031,1851,1337,3914
173,5503,3427,1997,2302,1323,3494
174,5278,3492,1970,2434,1283,3446
175,5177,3488,2032,2350,1278,3495
176,5067,3478,1905,2309,1276,3218
177,4957,2666,1808,2295,1330,3182
178,4708,2622,1811,2182,1391,3018
179,4807,2486,1691,2267,1469,3296
180,4775,2552,1632,1798,1445,3851
181,4771,2491,1622,1700,1535,4140
182,4605,2474,1599,1708,0,4144
183,4450,2461,1647,1707,0,0
184,4302,2596,1640,1718,0,0
185,3925,2636,1681,1804,0,0
186,3670,2741,1683,1819,0,0
187,3415,0,0,0,0,0
188,3294,0,0,0,0,0
189,3254,0,0,0,0,0
190,3220,0,0,0,0,0
191,3157,0,0,0,0,0
192,3348,0,0,0,0,0
193,3334,0,0,0,0,0
